sample,subclone,origin,clone,trans_site,age,age2,grtn,loc,rope,R_fin,G_fin,B_fin
166,CN_132,M2,Orange,M2,6y,6,early,home,R_192,105.4,74.3,43.8
191,CN_132,M2,Orange,M2,6y,6,early,home,R_195,73.2,51.3,40
190,CN_132,M2,Orange,M2,6y,6,early,home,R_193,95.3,60.8,37.1
67,CN_R031,M2,Orange,M2,5y,5,early,home,R_196,108.8,72.9,48.8
189,CN_R031,M2,Orange,M2,5y,5,early,home,R_194,76.1,48.3,34.1
188,CN_R031,M2,Orange,M2,5y,5,early,home,R_200,133,76.3,47.1
187,CN_168,M2,Orange,M2,7y,7,early,home,R_193,90.8,58.1,36.3
186,CN_168,M2,Orange,M2,7y,7,early,home,R_198,115.5,71.8,52.2
185,CN_168,M2,Orange,M2,7y,7,early,home,R_192,116.9,76.7,49.3
184,CN_B43,M2,Purple,M2,3y,3,late,home,R_194,146.9,94.1,58
183,CN_B43,M2,Purple,M2,3y,3,late,home,R_197,119.6,66.2,47.7
182,CN_B43,M2,Purple,M2,3y,3,late,home,R_200,151.3,112.3,66.3
181,CN_B77,M2,Orange,M2,5y,5,early,home,R_199,60.9,46.5,37.2
180,CN_B77,M2,Orange,M2,5y,5,early,home,R_195,65.9,45.7,32.8
179,CN_B77,M2,Orange,M2,5y,5,early,home,R_197,77.8,51,33.5
171,CN_169,M2,Purple,M2,7y,7,early,home,R_195,105.1,73.8,49.7
175,CN_169,M2,Purple,M2,7y,7,early,home,R_199,96.4,59.6,39.5
170,CN_169,M2,Purple,M2,7y,7,early,home,R_192,105.6,77.1,55.5
169,CN_R045,M2,Pink,M2,5y,5,early,home,R_196,124,91.9,65.9
168,CN_R045,M2,Pink,M2,5y,5,early,home,R_198,82.7,57.4,34.8
167,CN_R045,M2,Pink,M2,5y,5,early,home,R_200,158.8,131,102.1
165,CN_R051,M2,Pink,M2,5y,5,early,home,R_199,78.2,51.3,36.5
164,CN_R051,M2,Pink,M2,5y,5,early,home,R_195,108.9,62.7,45.1
163,CN_R051,M2,Pink,M2,5y,5,early,home,R_193,165.2,112.6,74.2
162,CN_W071_58,M2,Purple,M2,7y,7,early,home,R_193,101.2,62.9,37.8
300,CN_W071_58,M2,Purple,M2,7y,7,early,home,R_200,98.6,74.6,60.9
299,CN_W071_58,M2,Purple,M2,7y,7,early,home,R_196,82.4,53.1,35.6
298,CN_R099_59,M2,Blue,M2,7y,7,early,home,R_195,78.9,54,40.2
297,CN_R099_59,M2,Blue,M2,7y,7,early,home,R_192,,,
296,CN_R099_59,M2,Blue,M2,7y,7,early,home,R_198,100.8,62.9,42.9
295,CN_W072,M2,Orange,M2,4y,4,late,home,R_197,69.8,50,38.7
294,CN_W072,M2,Orange,M2,4y,4,late,home,R_193,101,60.1,34.2
293,CN_63,M2,Orange,M2,7y,7,early,home,R_199,139.1,92.1,56.5
292,CN_63,M2,Orange,M2,7y,7,early,home,R_195,91,59.6,39.3
291,CN_W147,M2,Orange,M2,4y,4,late,home,R_194,70.6,50.9,38
290,CN_W147,M2,Orange,M2,4y,4,late,home,R_197,90.3,62.2,44.5
289,CN_W073,M2,Orange,M2,7y,7,early,home,R_193,93.2,55.3,38.1
288,CN_W073,M2,Orange,M2,7y,7,early,home,R_200,103.9,69.1,38.8
287,CN_R069,M2,Pink,M2,5y,5,early,home,R_194,112.8,74.6,50
286,CN_R069,M2,Pink,M2,5y,5,early,home,R_195,98.6,72,49.8
285,CN_R048,M2,Pink,M2,5y,5,early,home,R_194,99.4,61.9,42.2
284,CN_R048,M2,Pink,M2,5y,5,early,home,R_193,90.8,60.2,38.2
283,CN_R096,M2,Red,M2,4y,4,late,home,R_197,79.8,58.8,42.7
282,CN_R096,M2,Red,M2,4y,4,late,home,R_199,113.1,71.9,48.3
281,CN_60,M2,Brown,M2,7y,7,early,home,R_192,115.2,82.1,57.4
280,CN_60,M2,Brown,M2,7y,7,early,home,R_200,154.7,105.6,63.4
279,CN_B6,M2,Red,M2,3y,3,late,home,R_196,92.2,67,43.1
278,CN_B6,M2,Red,M2,3y,3,late,home,R_192,124.8,91,58.6
