sample,origin,clone,subclone,subclone2,trans_site,rope,loc_grtn,age,age2,grtn,loc,bw_in,bw_fin,bw_chg,len_in,len_fin,len_chg,avg_len_chg,len_ct
166,M2,Orange,CN_132,V24,M2,R_192,home_early,6y,6,early,home,2.3,3.45,1.15,4.08,4.87,0.79,,0.19
191,M2,Orange,CN_132,V24,M2,R_195,home_early,6y,6,early,home,3.85,5.19,1.34,6.63,7.76,1.13,,0.17
190,M2,Orange,CN_132,V24,M2,R_193,home_early,6y,6,early,home,3.07,3.54,0.47,4.59,3.93,-0.66,0.42,-0.14
67,M2,Orange,CN_R031,V22,M2,R_196,home_early,5y,5,early,home,2.26,2.48,0.22,4.92,4.16,-0.76,,-0.15
189,M2,Orange,CN_R031,V22,M2,R_194,home_early,5y,5,early,home,2.78,5.51,2.73,5.06,8.93,3.87,,0.76
188,M2,Orange,CN_R031,V22,M2,R_200,home_early,5y,5,early,home,6.43,7.95,1.52,7.03,7.96,0.93,1.346666667,0.13
187,M2,Orange,CN_168,V18,M2,R_193,home_early,7y,7,early,home,3.71,6.1,2.39,5.56,7.35,1.79,,0.32
186,M2,Orange,CN_168,V18,M2,R_198,home_early,7y,7,early,home,2.59,3.6,1.01,5.87,6.43,0.56,,0.1
185,M2,Orange,CN_168,V18,M2,R_192,home_early,7y,7,early,home,2.01,3.15,1.14,4.76,5.93,1.17,1.173333333,0.25
184,M2,Purple,CN_B43,V16,M2,R_194,home_late,3y,3,late,home,3.13,3.49,0.36,6.41,5.39,-1.02,,-0.16
183,M2,Purple,CN_B43,V16,M2,R_197,home_late,3y,3,late,home,4.83,9.48,4.65,5.7,8.37,2.67,,0.47
182,M2,Purple,CN_B43,V16,M2,R_200,home_late,3y,3,late,home,4.94,5.02,0.08,5.98,2.58,-3.4,-0.583333333,-0.57
181,M2,Orange,CN_B77,V19,M2,R_199,home_early,5y,5,early,home,4.49,4.33,-0.16,5.66,5.92,0.26,,0.05
180,M2,Orange,CN_B77,V19,M2,R_195,home_early,5y,5,early,home,3.29,3.75,0.46,5.36,3.12,-2.24,,-0.42
179,M2,Orange,CN_B77,V19,M2,R_197,home_early,5y,5,early,home,3.22,6.13,2.91,5.33,8.16,2.83,0.283333333,0.53
171,M2,Purple,CN_169,V30,M2,R_195,home_early,7y,7,early,home,1.3,1.4,0.1,3.78,3.51,-0.27,,-0.07
175,M2,Purple,CN_169,V30,M2,R_199,home_early,7y,7,early,home,1.5,1.95,0.45,4.32,2.89,-1.43,,-0.33
170,M2,Purple,CN_169,V30,M2,R_192,home_early,7y,7,early,home,2.53,3.33,0.8,5.03,6.13,1.1,-0.2,0.22
169,M2,Pink,CN_R045,V12,M2,R_196,home_early,5y,5,early,home,1.81,1.62,-0.19,3.79,0.82,-2.97,,-0.78
168,M2,Pink,CN_R045,V12,M2,R_198,home_early,5y,5,early,home,1.55,0.87,-0.68,3.72,0.97,-2.75,,-0.74
167,M2,Pink,CN_R045,V12,M2,R_200,home_early,5y,5,early,home,1.45,1.31,-0.14,3.35,0.68,-2.67,-2.796666667,-0.8
165,M2,Pink,CN_R051,V11,M2,R_199,home_early,5y,5,early,home,3.68,3.46,-0.22,5.96,4.57,-1.39,,-0.23
164,M2,Pink,CN_R051,V11,M2,R_195,home_early,5y,5,early,home,3.01,3.94,0.93,5.38,5.73,0.35,,0.07
163,M2,Pink,CN_R051,V11,M2,R_193,home_early,5y,5,early,home,3.14,5.12,1.98,4.78,6.19,1.41,0.123333333,0.29
162,M2,Purple,CN_W071_58,V20,M2,R_193,home_early,7y,7,early,home,0.83,1.6,0.77,3.04,4.03,0.99,,0.33
300,M2,Purple,CN_W071_58,V20,M2,R_200,home_early,7y,7,early,home,0.6,0.99,0.39,2.81,3.37,0.56,,0.2
299,M2,Purple,CN_W071_58,V20,M2,R_196,home_early,7y,7,early,home,1.06,1.89,0.83,4.11,6.06,1.95,1.166666667,0.47
298,M2,Blue,CN_R099_59,V32,M2,R_195,home_early,7y,7,early,home,4.78,5.84,1.06,5.73,6.47,0.74,,0.13
297,M2,Blue,CN_R099_59,V32,M2,R_192,home_early,7y,7,early,home,5.01,NA,NA,5.38,NA,NA,,
296,M2,Blue,CN_R099_59,V32,M2,R_198,home_early,7y,7,early,home,2.81,3.48,0.67,4.24,4.54,0.3,0.52,0.07
295,M2,Orange,CN_W072,V8,M2,R_197,home_late,4y,4,late,home,1.96,3.85,1.89,4.81,7.72,2.91,,0.6
294,M2,Orange,CN_W072,V8,M2,R_193,home_late,4y,4,late,home,2.09,4.63,2.54,5.01,7.53,2.52,2.715,0.5
293,M2,Orange,CN_63,V31,M2,R_199,home_early,7y,7,early,home,0.95,0.87,-0.08,3.03,2.36,-0.67,,-0.22
292,M2,Orange,CN_63,V31,M2,R_195,home_early,7y,7,early,home,1.38,1.82,0.44,3.94,3.82,-0.12,-0.395,-0.03
