model_name,posterior_prob,y,run_weight,formula
fixed_nage_nloc_nseither,0.14428329206234428,chlor,0.14428329206234428,(1 | clone) + (1 | subclone) + trans_site + (1 | rope)
fixed_nage_nloc_nsclone,0.1398750899930237,chlor,0.284158382055368,(1 | subclone:trans_site) + (1 | clone) + (1 | subclone) + trans_site + (1 | rope)
fixed_nage_nloc_nclone_nssub,0.10213515946435776,chlor,0.3862935415197257,(1 | subclone) + trans_site + (1 | rope)
fixed_nage_nloc_nclone,0.0980684444229311,chlor,0.48436198594265684,(1 | subclone:trans_site) + (1 | subclone) + trans_site + (1 | rope)
fixed_nage_nloc_nssub,0.090957232718714,chlor,0.5753192186613708,(1 | clone:trans_site) + (1 | clone) + (1 | subclone) + trans_site + (1 | rope)
fixed_nage_nloc_allbiol,0.08342560562880004,chlor,0.6587448242901709,(1 | subclone:trans_site) + (1 | clone:trans_site) + (1 | clone) + (1 | subclone) + trans_site + (1 | rope)
fixed_nage_nloc_nbiol,0.05888679790693811,chlor,0.717631622197109,trans_site + (1 | rope)
fixed_nage_nloc_nsub_nsclone,0.0502376296439795,chlor,0.7678692518410885,(1 | clone) + trans_site + (1 | rope)
fixed_full_nsclone,0.02617794707894475,chlor,0.7940471989200333,(1 | subclone:trans_site) + (1 | clone) + (1 | subclone) + trans_site + (1 | rope) + loc
fixed_full_nseither,0.0248043398523447,chlor,0.8188515387723779,(1 | clone) + (1 | subclone) + trans_site + (1 | rope) + loc
fixed_nage_nloc_nsub,0.02449200345211747,chlor,0.8433435422244954,(1 | clone:trans_site) + (1 | clone) + trans_site + (1 | rope)
fixed_nage_allbiol,0.01823973311899968,chlor,0.8615832753434951,(1 | subclone:trans_site) + (1 | clone:trans_site) + (1 | clone) + (1 | subclone) + trans_site + (1 | rope) + loc
fixed_full_nssub,0.01752970786987777,chlor,0.8791129832133728,(1 | clone:trans_site) + (1 | clone) + (1 | subclone) + trans_site + (1 | rope) + loc
fixed_full_nclone_nssub,0.01739602269050424,chlor,0.896509005903877,(1 | subclone) + trans_site + (1 | rope) + loc
fixed_full_nclone,0.0169966750002664,chlor,0.9135056809041435,(1 | subclone:trans_site) + (1 | subclone) + trans_site + (1 | rope) + loc
fixed_full_nbiol,0.01041925356670744,chlor,0.9239249344708509,trans_site + (1 | rope) + loc
fixed_full_nsub_nsclone,0.00956180812327821,chlor,0.9334867425941291,(1 | clone) + trans_site + (1 | rope) + loc
fixed_nint_nseither,0.00759378952015659,chlor,0.9410805321142858,(1 | clone) + (1 | subclone) + trans_site + (1 | rope) + age
fixed_nint_nsclone,0.00665417551377597,chlor,0.9477347076280617,(1 | subclone:trans_site) + (1 | clone) + (1 | subclone) + trans_site + (1 | rope) + age
fixed_nint_nclone_nssub,0.00589962590289462,chlor,0.9536343335309563,(1 | subclone) + trans_site + (1 | rope) + age
fixed_nint_nclone,0.00556696775985873,chlor,0.959201301290815,(1 | subclone:trans_site) + (1 | subclone) + trans_site + (1 | rope) + age
fixed_nint_nssub,0.00473219612988156,chlor,0.9639334974206967,(1 | clone:trans_site) + (1 | clone) + (1 | subclone) + trans_site + (1 | rope) + age
fixed_full_nsub,0.00466420088758977,chlor,0.9685976983082863,(1 | clone:trans_site) + (1 | clone) + trans_site + (1 | rope) + loc
fixed_nloc_allbiol,0.00456386028240709,chlor,0.9731615585906935,(1 | subclone:trans_site) + (1 | clone:trans_site) + (1 | clone) + (1 | subclone) + trans_site + (1 | rope) + age
fixed_nint_nbiol,0.0028499909599815,chlor,0.9760115495506749,trans_site + (1 | rope) + age
fixed_nint_nsub_nsclone,0.00220416374050665,chlor,0.9782157132911816,(1 | clone) + trans_site + (1 | rope) + age
null_nage_nloc_nsclone,0.00164183276496107,chlor,0.9798575460561427,(1 | subclone:trans_site) + (1 | clone) + (1 | subclone) + (1 | rope)
null_nage_nloc_nclone,0.00139733394806428,chlor,0.981254880004207,(1 | subclone:trans_site) + (1 | subclone) + (1 | rope)
null_nage_nloc_allbiol,0.00136324613669948,chlor,0.9826181261409065,(1 | subclone:trans_site) + (1 | clone:trans_site) + (1 | clone) + (1 | subclone) + (1 | rope)
fixed_nloc_nseither,0.00131102214297263,chlor,0.9839291482838791,(1 | clone) + (1 | subclone) + trans_site + (1 | rope) + age + loc
fixed_nloc_nsclone,0.00126073794889317,chlor,0.9851898862327723,(1 | subclone:trans_site) + (1 | clone) + (1 | subclone) + trans_site + (1 | rope) + age + loc
null_nage_nloc_nseither,0.00125255580822696,chlor,0.9864424420409992,(1 | clone) + (1 | subclone) + (1 | rope)
null_nage_nloc_nssub,0.00117973919062033,chlor,0.9876221812316196,(1 | clone:trans_site) + (1 | clone) + (1 | subclone) + (1 | rope)
null_nage_nloc_nclone_nssub,0.00115080428437918,chlor,0.9887729855159987,(1 | subclone) + (1 | rope)
fixed_nloc_nclone_nssub,0.00103627609065268,chlor,0.9898092616066514,(1 | subclone) + trans_site + (1 | rope) + age + loc
fixed_nint_nsub,0.00103168135503236,chlor,0.9908409429616838,(1 | clone:trans_site) + (1 | clone) + trans_site + (1 | rope) + age
fixed_nloc_nclone,9.825073686153835e-4,chlor,0.9918234503302992,(1 | subclone:trans_site) + (1 | subclone) + trans_site + (1 | rope) + age + loc
fixed_nloc_nssub,8.597206932268242e-4,chlor,0.992683171023526,(1 | clone:trans_site) + (1 | clone) + (1 | subclone) + trans_site + (1 | rope) + age + loc
fixed_nint_allbiol,8.189065398708547e-4,chlor,0.9935020775633968,(1 | subclone:trans_site) + (1 | clone:trans_site) + (1 | clone) + (1 | subclone) + trans_site + (1 | rope) + age + loc
fixed_nloc_nbiol,5.088661630849193e-4,chlor,0.9940109437264818,trans_site + (1 | rope) + age + loc
null_nage_allbiol,4.7396858137425826e-4,chlor,0.994484912307856,(1 | subclone:trans_site) + (1 | clone:trans_site) + (1 | clone) + (1 | subclone) + (1 | rope) + loc
null_nage_nsclone,4.52793722341044e-4,chlor,0.994937706030197,(1 | subclone:trans_site) + (1 | clone) + (1 | subclone) + (1 | rope) + loc
null_nage_nclone,4.37922861832545e-4,chlor,0.9953756288920296,(1 | subclone:trans_site) + (1 | subclone) + (1 | rope) + loc
fixed_nloc_nsub_nsclone,4.134419582735753e-4,chlor,0.9957890708503032,(1 | clone) + trans_site + (1 | rope) + age + loc
null_nage_nssub,3.6380071899317897e-4,chlor,0.9961528715692963,(1 | clone:trans_site) + (1 | clone) + (1 | subclone) + (1 | rope) + loc
null_nage_nloc_nsub_nsclone,3.53320501385991e-4,chlor,0.9965061920706824,(1 | clone) + (1 | rope)
null_nage_nseither,3.1980772941430985e-4,chlor,0.9968259998000967,(1 | clone) + (1 | subclone) + (1 | rope) + loc
null_nage_nclone_nssub,3.0734437680230776e-4,chlor,0.9971333441768989,(1 | subclone) + (1 | rope) + loc
null_nage_nloc_nsub,2.8340359064383646e-4,chlor,0.9974167477675429,(1 | clone:trans_site) + (1 | clone) + (1 | rope)
null_nage_nbiol,2.397831026195087e-4,chlor,0.9976565308701623,(1 | rope) + loc
fixed_nage_nseither,2.1671839851769835e-4,chlor,0.99787324926868,(1 | clone) + (1 | subclone) + trans_site + (1 | rope) + age + loc + age:loc
fixed_nage_nsclone,2.1240649379941217e-4,chlor,0.9980856557624794,(1 | subclone:trans_site) + (1 | clone) + (1 | subclone) + trans_site + (1 | rope) + age + loc + age:loc
fixed_nloc_nsub,2.0642872706448437e-4,chlor,0.9982920844895439,(1 | clone:trans_site) + (1 | clone) + trans_site + (1 | rope) + age + loc
fixed_nage_nclone_nssub,1.7387819331417988e-4,chlor,0.998465962682858,(1 | subclone) + trans_site + (1 | rope) + age + loc + age:loc
fixed_nage_nclone,1.7213063985989485e-4,chlor,0.998638093322718,(1 | subclone:trans_site) + (1 | subclone) + trans_site + (1 | rope) + age + loc + age:loc
fixed_full_allbiol,1.5239268690660516e-4,chlor,0.9987904860096246,(1 | subclone:trans_site) + (1 | clone:trans_site) + (1 | clone) + (1 | subclone) + trans_site + (1 | rope) + age + loc + age:loc
fixed_nage_nssub,1.469103189556641e-4,chlor,0.9989373963285803,(1 | clone:trans_site) + (1 | clone) + (1 | subclone) + trans_site + (1 | rope) + age + loc + age:loc
null_nage_nsub_nsclone,1.0265769696153492e-4,chlor,0.9990400540255417,(1 | clone) + (1 | rope) + loc
null_nage_nsub,1.0104159748056333e-4,chlor,0.9991410956230223,(1 | clone:trans_site) + (1 | clone) + (1 | rope) + loc
fixed_nage_nbiol,9.332166086093212e-5,chlor,0.9992344172838833,trans_site + (1 | rope) + age + loc + age:loc
null_nloc_nclone,7.971485140802521e-5,chlor,0.9993141321352913,(1 | subclone:trans_site) + (1 | subclone) + (1 | rope) + age
fixed_nage_nsub_nsclone,7.053822093784263e-5,chlor,0.9993846703562291,(1 | clone) + trans_site + (1 | rope) + age + loc + age:loc
null_nloc_nsclone,6.909308120145199e-5,chlor,0.9994537634374306,(1 | subclone:trans_site) + (1 | clone) + (1 | subclone) + (1 | rope) + age
